关键词                                         ,所属类目                                                                                        ,月搜索趋势                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,旺季          ,月搜索量       ,月购买量        ,点击集中度     ,商品数         ,市场分析      ,PPC竞价
large dog life jacket                       ,['Pet Supplies']                                                                            ,"{'x':'201704','y':297},{'x':'201705','y':525},{'x':'201706','y':796},{'x':'201707','y':942},{'x':'201708','y':288},{'x':'201709','y':0},{'x':'201710','y':0},{'x':'201711','y':0},{'x':'201712','y':0},{'x':'201801','y':0},{'x':'201802','y':0},{'x':'201803','y':0},{'x':'201804','y':417},{'x':'201805','y':1015},{'x':'201806','y':1028},{'x':'201807','y':955},{'x':'201808','y':400},{'x':'201809','y':133},{'x':'201810','y':0},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':0},{'x':'201904','y':110},{'x':'201905','y':127},{'x':'201906','y':1199},{'x':'201907','y':21362},{'x':'201908','y':777},{'x':'201909','y':99},{'x':'201910','y':0},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':0},{'x':'202002','y':0},{'x':'202003','y':83},{'x':'202004','y':146},{'x':'202005','y':1183},{'x':'202006','y':3277},{'x':'202007','y':5112},{'x':'202008','y':5637},{'x':'202009','y':1624}"                                                                                                                                                                                                               ,"['', '']"  ,"['', '']" ,['39']      ,['39.5%'] ,['562']     ,['30.35'] ,"['', '0.89']"
dog life jacket shark                       ,['Pet Supplies']                                                                            ,"{'x':'201704','y':176},{'x':'201705','y':176},{'x':'201706','y':357},{'x':'201707','y':460},{'x':'201708','y':215},{'x':'201709','y':0},{'x':'201710','y':0},{'x':'201711','y':0},{'x':'201712','y':0},{'x':'201801','y':0},{'x':'201802','y':0},{'x':'201803','y':0},{'x':'201804','y':0},{'x':'201805','y':254},{'x':'201806','y':525},{'x':'201807','y':473},{'x':'201808','y':0},{'x':'201809','y':0},{'x':'201810','y':0},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':0},{'x':'201904','y':0},{'x':'201905','y':274},{'x':'201906','y':138},{'x':'201907','y':15175},{'x':'201908','y':670},{'x':'201909','y':89},{'x':'201910','y':0},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':0},{'x':'202002','y':0},{'x':'202003','y':53},{'x':'202004','y':39},{'x':'202005','y':165},{'x':'202006','y':1739},{'x':'202007','y':3473},{'x':'202008','y':3773},{'x':'202009','y':1502}"                                                                                                                                                                                                                            ,"['', '']"  ,"['', '']" ,['87']      ,['51.0%'] ,['220']     ,['30.48'] ,"['', '0.88']"
dog life jacket medium                      ,"['Pet Supplies', 'Baby', 'Sports & Outdoors']"                                             ,"{'x':'201703','y':366},{'x':'201704','y':228},{'x':'201705','y':559},{'x':'201706','y':791},{'x':'201707','y':1552},{'x':'201708','y':396},{'x':'201709','y':0},{'x':'201710','y':0},{'x':'201711','y':0},{'x':'201712','y':0},{'x':'201801','y':0},{'x':'201802','y':0},{'x':'201803','y':0},{'x':'201804','y':0},{'x':'201805','y':228},{'x':'201806','y':800},{'x':'201807','y':7375},{'x':'201808','y':3535},{'x':'201809','y':0},{'x':'201810','y':0},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':0},{'x':'201904','y':131},{'x':'201905','y':456},{'x':'201906','y':397},{'x':'201907','y':16951},{'x':'201908','y':595},{'x':'201909','y':0},{'x':'201910','y':0},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':0},{'x':'202002','y':0},{'x':'202003','y':47},{'x':'202004','y':128},{'x':'202005','y':814},{'x':'202006','y':5455},{'x':'202007','y':4924},{'x':'202008','y':5343},{'x':'202009','y':1416}"                                                                                                                                                                                              ,"['', '']"  ,"['', '']" ,['92']      ,['59.7%'] ,"['1,000']" ,['28.08'] ,"['', '1.17']"
ruffwear life jackets for dogs              ,"['Sports & Outdoors', 'Pet Supplies']"                                                     ,"{'x':'201802','y':133},{'x':'201803','y':0},{'x':'201804','y':176},{'x':'201805','y':4890},{'x':'201806','y':12087},{'x':'201807','y':15893},{'x':'201808','y':6059},{'x':'201809','y':1075},{'x':'201810','y':65},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':50},{'x':'201904','y':222},{'x':'201905','y':1038},{'x':'201906','y':2660},{'x':'201907','y':31265},{'x':'201908','y':5506},{'x':'201909','y':251},{'x':'201910','y':0},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':0},{'x':'202002','y':0},{'x':'202003','y':37},{'x':'202004','y':257},{'x':'202005','y':1102},{'x':'202006','y':4757},{'x':'202007','y':8180},{'x':'202008','y':7413},{'x':'202009','y':1040}"                                                                                                                                                                                                                                                                                                                                                                                                                               ,"['', '']"  ,"['', '']" ,['47']      ,['82.6%'] ,['19']      ,['40.94'] ,"['', '0.82']"
dog life jacket xl                          ,[]                                                                                          ,"{'x':'201705','y':374},{'x':'201706','y':684},{'x':'201707','y':516},{'x':'201708','y':404},{'x':'201709','y':0},{'x':'201710','y':0},{'x':'201711','y':0},{'x':'201712','y':0},{'x':'201801','y':0},{'x':'201802','y':0},{'x':'201803','y':0},{'x':'201804','y':219},{'x':'201805','y':869},{'x':'201806','y':968},{'x':'201807','y':1058},{'x':'201808','y':486},{'x':'201809','y':146},{'x':'201810','y':0},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':0},{'x':'201904','y':207},{'x':'201905','y':198},{'x':'201906','y':2818},{'x':'201907','y':29154},{'x':'201908','y':4868},{'x':'201909','y':695},{'x':'201910','y':229},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':0},{'x':'202002','y':0},{'x':'202003','y':0},{'x':'202004','y':94},{'x':'202005','y':242},{'x':'202006','y':3043},{'x':'202007','y':3611},{'x':'202008','y':4090},{'x':'202009','y':476}"                                                                                                                                                                                                                                       ,"['', '']"  ,"['', '']" ,['22']      ,['50.0%'] ,['627']     ,['24.49'] ,"['', '1.22']"
mermaid life jacket for dogs                ,"['Pet Supplies', 'Home & Kitchen', 'Toys & Games']"                                        ,"{'x':'201805','y':0},{'x':'201806','y':0},{'x':'201807','y':0},{'x':'201808','y':0},{'x':'201809','y':0},{'x':'201810','y':0},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':0},{'x':'201904','y':0},{'x':'201905','y':0},{'x':'201906','y':12067},{'x':'201907','y':15691},{'x':'201908','y':0},{'x':'201909','y':0},{'x':'201910','y':0},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':0},{'x':'202002','y':0},{'x':'202003','y':0},{'x':'202004','y':43},{'x':'202005','y':0},{'x':'202006','y':171},{'x':'202007','y':32},{'x':'202008','y':0},{'x':'202009','y':468}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"['', '']"  ,"['', '']" ,['3']       ,['69.4%'] ,['192']     ,['26.69'] ,"['', '0.78']"
outward hound granby dog life jacket        ,[]                                                                                          ,"{'x':'201706','y':0},{'x':'201707','y':0},{'x':'201708','y':0},{'x':'201709','y':0},{'x':'201710','y':0},{'x':'201711','y':0},{'x':'201712','y':0},{'x':'201801','y':0},{'x':'201802','y':0},{'x':'201803','y':0},{'x':'201804','y':0},{'x':'201805','y':0},{'x':'201806','y':194},{'x':'201807','y':241},{'x':'201808','y':0},{'x':'201809','y':0},{'x':'201810','y':0},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':0},{'x':'201904','y':0},{'x':'201905','y':149},{'x':'201906','y':0},{'x':'201907','y':0},{'x':'201908','y':0},{'x':'201909','y':0},{'x':'201910','y':0},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':0},{'x':'202002','y':0},{'x':'202003','y':0},{'x':'202004','y':0},{'x':'202005','y':384},{'x':'202006','y':0},{'x':'202007','y':0},{'x':'202008','y':0}"                                                                                                                                                                                                                                                                                                                              ,['2020.05'] ,"['', '']" ,['26']      ,['100%']  ,['N/A']     ,[]        ,['']
arcadia trail dog life jacket               ,[]                                                                                          ,"{'x':'201905','y':0},{'x':'201906','y':0},{'x':'201907','y':0},{'x':'201908','y':0},{'x':'201909','y':0},{'x':'201910','y':0},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':0},{'x':'202002','y':0},{'x':'202003','y':0},{'x':'202004','y':0},{'x':'202005','y':0},{'x':'202006','y':192},{'x':'202007','y':384},{'x':'202008','y':0}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,['2020.07'] ,"['', '']" ,['N/A']     ,['56.7%'] ,['N/A']     ,[]        ,"['', '1.38']"
shark dog life jacket                       ,"['Sports & Outdoors', 'Pet Supplies']"                                                     ,"{'x':'201705','y':125},{'x':'201706','y':426},{'x':'201707','y':473},{'x':'201708','y':202},{'x':'201709','y':0},{'x':'201710','y':0},{'x':'201711','y':0},{'x':'201712','y':0},{'x':'201801','y':0},{'x':'201802','y':0},{'x':'201803','y':0},{'x':'201804','y':0},{'x':'201805','y':0},{'x':'201806','y':409},{'x':'201807','y':559},{'x':'201808','y':417},{'x':'201809','y':0},{'x':'201810','y':0},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':0},{'x':'201904','y':68},{'x':'201905','y':264},{'x':'201906','y':1222},{'x':'201907','y':21891},{'x':'201908','y':852},{'x':'201909','y':0},{'x':'201910','y':0},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':0},{'x':'202002','y':0},{'x':'202003','y':34},{'x':'202004','y':202},{'x':'202005','y':349},{'x':'202006','y':1251},{'x':'202007','y':607},{'x':'202008','y':3621},{'x':'202009','y':368}"                                                                                                                                                                                                                                                   ,"['', '']"  ,"['', '']" ,['22']      ,['57.8%'] ,['104']     ,['24.00'] ,"['', '0.92']"
albabara dog life jacket                    ,"['Home & Garden', 'Clothing, Shoes & Jewelry', 'Beauty & Personal Care']"                  ,"{'x':'201805','y':0},{'x':'201806','y':0},{'x':'201807','y':0},{'x':'201808','y':0},{'x':'201809','y':0},{'x':'201810','y':0},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':0},{'x':'201904','y':0},{'x':'201905','y':0},{'x':'201906','y':309},{'x':'201907','y':0},{'x':'201908','y':0},{'x':'201909','y':0},{'x':'201910','y':0},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':0},{'x':'202002','y':0},{'x':'202003','y':0},{'x':'202004','y':0},{'x':'202005','y':0},{'x':'202006','y':0},{'x':'202007','y':0},{'x':'202008','y':0}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,['2019.06'] ,"['', '']" ,['5']       ,[]        ,['N/A']     ,['24.91'] ,['']
